RETAILER,PRODUCT,RATING,POST_DATE,REVIEWER_NAME,TITLE,CONTENT
amazon,LG A939KBGS,4,"Reviewed in the United States 🇺🇸 on April 27, 2023",David M Haubert,Needs more suction,Very cool but costly stick vac. Esthetically it's beautiful.  The auto empty feature is also awesome  but you really need additional suction to get anything done which uses up the battery quicker. Luckily it has 3 different suction options. These could be asier to obtain but works well once you get there. Another draw was the mop attachment which I was not impressed with at all.
amazon,LG A939KBGS,4,"Reviewed in the United States 🇺🇸 on May 4, 2023",Amazon Customer,No headlight,"Love this vacuum!  I only gave it 4 stars because for $1,000 I expected it to have a headlight.  I bought it before they reduced the price."
amazon,LG A939KBGS,5,"Reviewed in the United States 🇺🇸 on April 30, 2023",Julez119,If loving a vac is possible .. you gotta meet this one,It’s great so worth the money I just wish I would have found this before buying other nameless brands. Really like everything about this LG thought of every possible situation someone cleaning there home could need and put it nicely in this awesome package.  It’s an investment well worth it
amazon,LG A939KBGS,4,"Reviewed in the United States 🇺🇸 on March 16, 2023",Shoreguy70,Good concept just needs some small improvements,Battery life could be better. App is cool but doesn’t work all the time. Pricing also seems to fluctuate a bit so you may want to wait for a deal on this one.
amazon,LG A939KBGS,5,"Reviewed in the United States 🇺🇸 on February 22, 2023",parker geiger,Awesome!,"Love Love Love this...the self-cleaning is best. I typically just remove the dirt from the internal throw away bags to save money, but honestly, I may not do that every time. It's lightweight, goes under the furniture well. GREAT suction. Once the tank gets full, I self-clean and back to work I go. I wish I had gotten the extra insurance, just in case, because it is a big investment. So far, LG has NOT disappointed in washing machines. So I feel confident; however, get the extra insurnace on any expensive appliances. Love the compact housing unit. Love how it hangs up well and easily. Love the back up battery and love that it charges while in the unit. Have not tried the water cleaning yet, but will soon and let you know."
amazon,LG A939KBGS,4,"Reviewed in the United States 🇺🇸 on August 21, 2022",Kim,I like it,"I’ll start by saying, I’d never have bought myself this vacuum as it is pretty cost prohibitive. My mother bought it for me as a gift and I’ve been pleasantly surprised. It has better suction than I expected it would. And since it is lightweight, I grab it almost everyday instead of a broom for my tile floors and instead of my bulky vacuum for carpets.By far, the most valuable feature is the fact that u don’t have to open that canister to empty it out. I’ve had other stick vacuums in the past that, while emptying it, I usually felt that I was just spreading all the contents around again. When u dock this vacuum, all the contents r sucked into an internal bag. My FAVORITE feature.I have 2 greyhounds that seem to continuously shed fur. So the ability to grab this vacuum rather push the fur around with a broom is much better.I’ve never tried the mop feature as it seems sort of pointless to me…which is maybe why this thing is priced so high.Like I said, I would never pay $1000 for a vacuum… but I LOVE the self-emptying feature… and it’s suction power will surprise!"
amazon,LG A939KBGS,3,"Reviewed in the United States 🇺🇸 on April 11, 2023",monica,Características del producto,Yo vengo de mucho tiempo con la marca Dyson estuve buscando renovar y encontré esta es muy bonita a un  que tienes que tener el espacio donde ponerla ya que el modulo es grande lo otro es que es pesada a comparación y es mas lenta de igual manera la probe de nuevo luego se prendió una luz roja que no pude entender y funcionaba mal prendía y apagaba en fin decidí devolverla si tengo que destacar que lo de la limpieza automática fue muy bueno
amazon,LG A939KBGS,3,"Reviewed in the United States 🇺🇸 on December 17, 2022",graywolf54,Great...but not with pets,"This vacuum is really a very good product. It is light, does a good job on carpet and hard surfaces, and the auto-clean of the container is a nice feature. However, we have a Labrador retriever, and this product unfortunately continually clogs on her fur. Running the vacuum on max ""turbo"" helps reduce the clogging to a more manageable level - but you still have to periodically reach into the inlet and ""hook"" the fur out to unclog the device.The auto-clean feature also has trouble with pet fur. It either cannot remove it from the canister, or worse, it removes it from the canister but leaves it in the opening to the collection bag so it all falls on the floor when you remove the vacuum from the stand. We have even found the canister lid left open after the clean cycle because all the fur didn't get out - and the remaining contents all fell on the floor.We like the vacuum enough to keep experimenting with it - it's just somewhat disappointing that it handles pet fur so poorly. Rated it three stars because it is a good device, minus pet fur."
amazon,LG A939KBGS,5,"Reviewed in the United States 🇺🇸 on March 30, 2023",Michael Campos,Great vacuum and very light weight.,"Great vacuum and very light weight. Works on both my carpet and on the tile floors to clean off the dirt before mopping. So far, the battery seems to power it just fine and I can do the whole house with one battery and still have some charge left."
amazon,LG A939KBGS,5,"Reviewed in the United States 🇺🇸 on July 24, 2022",Terry J. Keaton,Expensive but with value - little update,"We have gone through all kinds of vacuums, corded, cordless, and robot. Still have a corded Dyson for deep, heavy cleaning. Went through the latest Dyson V11, nice machine but connections on the stick were weak, started breaking. Went to the new Shark, nice but loud. Worked well, a bit heavy. Saw a commercial for this LG and checked it out. After all their TV and oven we have are exceptional. Turns out the vacuum is pretty nifty too. Yeah, expensive, but the technology and abilities make it worth it. It has two batteries, so use time is extended a long time. It is very lightweight, surprisingly so. The suction is strong, no problem picking up bird seed, popcorn, and other normal carpet detritus. No switch to push between carpet and flooring. The fringe on the carpet has not (yet) gotten caught up, even after pushing it up more than halfway. That actually straightens out the fringe. Easy to lift over because of the lack of weight. So far haven’t needed to use the compact button, would take a lot of vacuuming to fill it up enough. Really nice to just stick it in the stand and have the dirt get automatically sucked out and into a bag. Simple to put together, just put on the non-skid tape, set the unit on the base, plug it in, attach accessories. Just wish there was some storage for the floor mops. Ended up velcroing the bag on the back of the stand. Also need a place to stick extra bags so I don’t forget where they are. Yep, really big complaints there. We believe this was well worth the cost.Little update concerning fringe. Purposely ran over the fringe numerous times from both sides. Was cringing, expecting screaming noise an stoppage from jamming. Nope, cringing unnecessarily, nothing happened. The fringe got sucked in, could see it kind of flapping on top of the brush, but no loud noise and no stopping or even slowing. Gee, impressed even more."
amazon,LG A939KBGS,2,"Reviewed in the United States 🇺🇸 on November 13, 2022",Soso,LG Vacuum warranty service is terrible.,"Let me TLDR this real quick.  The vacuum is great, when it works... My base unit broke and this is the story of my warranty service....I bought this unit a month ago and not soon after I got it the base unit stopped working.  I called LG support and was transferred to India or the Philippines or whatever where a representative(who barely spoke english) made me run through a bunch of ""troubleshooting"" procedures ending with, ""Now you have to unplug the unit, wait an hour and call us back""  As ridiculous as this was I did it, and sure enough called back the next day where once again I had to do all of the same troubleshooting again until I finally got fed up and told them either set up an exchange or I am going to return it to the retailer(Amazon).  The guy actually told me that's exactly what I should do(as in return it to the retailer).  Never heard of this in my life....  Anyways, since the vacuum was actually still working (just the base was broken) I asked why can't I get the base fixed?  So after another 30 minutes I was offered what is the only option for service on these.  You have to pack the ENTIRE thing back up(the box is HUGE), ship it back to them, wait up to two weeks for them to fix it and then they will send it back.  They said the whole process can take up to a month.... This is ridiculous, every large company these days will either send you a replacement right away and put a hold on your credit card so you send the old one back or they will at least let you ship it back and when they get it, send you a new one out again, but these guys want hold on to your broken one for a couple weeks while they try to fix it.... Ridiculous.  The vacuum is good when it works but I won't buy another until they change their warranty policy and stop farming out their customer service to people who don't understand you and vice versa."
amazon,LG A939KBGS,5,"Reviewed in the United States 🇺🇸 on March 17, 2023",Tara Looney,The vacuum works,"Really Liked: lightweight, long battery, station very helpful along with the collection bag.Disliked: inconvenient mop feature. It works okay (not great) but the time it takes to get it all together, may as well have a better product separate from the vacuum"
amazon,LG A939KBGS,3,"Reviewed in the United States 🇺🇸 on March 24, 2023",Yesica Gonzalez,Beautiful Not Practical,"This vacuum was stunning but who wants a vacuum just for looks? I sent mine back, way too expensive and Not practical to clean up a mess."
amazon,LG A939KBGS,3,"Reviewed in the United States 🇺🇸 on April 7, 2023",Big daddy,Easy to use,Suction is decent but not that good
amazon,LG A939KBGS,5,"Reviewed in the United States 🇺🇸 on February 24, 2023",Amazon Customers wife,Easiest ever,"This is the best& easiest sweeper ever. Good everywhere you want it to. No moving furniture or chairs, I wish I would have bought it years ago, no wasting $$ on others. No complaints here. The packaging was so simple, this unit also emptied itself. I am so happy my husband bought it for me ❤️"
amazon,LG A939KBGS,3,"Reviewed in the United States 🇺🇸 on January 4, 2023",Fransisco,Nice! But Not For Me,"This is a very nice vacuum, but not for me. I have several pets, so as you can imagine there is plenty of hair to go around. The vacuum is light weight which was great, but the suction wasn't sufficient enough to my liking as well as the battery life not lasting as advertised, so a bit disappointed on that front. I recommend for no kids, no pet households."
amazon,LG A939KBGS,1,"Reviewed in the United States 🇺🇸 on October 16, 2022",Jack,LG make some fine products; this is not one of them.,"LG make some fine products; this is not one of them.The user manual is terrible. To me the instructions are out of order. The line drawings are not clear. And in general it’s just bad. I thought the worst user manuals were in the software domain but this, relative to the complexity of the product, beats even the bad SW manuals.The stand requires too much space because of space required for doors on either side to swing out.There is very little actual vacuum even in turbo mode; it relies on the brushes to pick stuff up but then it cannot pull the stuff into the dust canister. Very light stuff (I think it’s carpet fibers mixed with dust does not pass into the dust canister and then backs up in the pipe between the floor brush part and the motor/vacuum part. The stuff in the pipe is easily blow out with a slight puff (which partially shows how poor the suction of the product is) but the stuff stuck in the motor unit that can’t get into the dust canister is nearly impossible to remove and it has to be done after about three minutes of use.This is a totally impractical product. I don’t know how LG let it go to market nor how it remains on the market (it probably won’t after all the suckers like me get burned).I have a vacuum cleaner I bought for $35 on sale at Walmart to use in a small condominium in Colorado that works far better that this. Moving the power cord of the $35 product, or my Panasonic and Hoover units I use at home, from outlet to outlet is a lot easier and done less frequently than fooling with the nearly impossible jams of this cordless unit.This came in so many parts and with such a poor user manual that I let it sit for a long time before attempting to assemble and use it. The Amazon return date has passed so I might take it to a thrift store for a slight tax deduction but I really hate to think about someone else wasting even far less money than I have on this product. Although, for me, this is not a significant financial hit, I am still angry that I have wasted nearly $1K on this thing (I guess I should be angry mostly at myself for letting the return date pass but the poor user manual contributed to this).I strongly recommend you stay away from this product."
amazon,LG A939KBGS,5,"Reviewed in the United States 🇺🇸 on January 26, 2023",Ryan,Just what I was looking for,"Bought this because we already had a lower model Cordzero and have been happy with it, but hate how messy and dirty it is to empty.  A key question I had was - can we empty our existing cordzero in the base station?  The answer is YES, which is huge.  Will update if we run into any reliability issues but so far very happy and no more fussing with getting the dirt out and sneezing all the while!"
amazon,LG A939KBGS,5,"Reviewed in the United States 🇺🇸 on February 21, 2023",zoraida,Replaced my upright!,"My upright is too heavy for me to use and cleaning it out was another choir, this empty’s itself and lets you know when it’s time to change filters, also it empties itself every time you return to port."
