,RATING
0,5
1,5
2,1
3,4
4,4
5,5
6,5
7,5
8,5
9,4
10,4
11,4
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,3
23,5
24,5
25,5
26,5
27,4
28,4
29,4
30,1
31,5
32,5
33,4
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,4
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,4
51,5
52,5
53,5
54,4
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
64,4
65,5
66,5
67,4
68,4
69,3
70,1
71,5
72,2
73,5
74,4
75,5
76,5
77,5
78,5
79,3
80,1
81,1
82,5
83,1
84,2
85,5
86,1
87,3
88,5
89,1
90,4
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,5
102,5
103,5
104,5
105,5
106,5
107,5
108,5
109,5
110,5
