RETAILER,PRODUCT,RATING,POST_DATE,REVIEWER_NAME,TITLE,CONTENT
bestbuy,LG A925KSM,5,9/7/2022 17:17,Curmudgeon1,"POWERFUL, LIGHTWEIGHT & EFFICIENT STICK VACUUM","The LG CordZero A925KSM Kompressor Stick Vacuum is similar to some other LG cordless vacuum models, and that is a very good thing.  The LG A925KSM is an excellent cordless stick vacuum that performs very well and is very pleasant and easy to use.

The LG CordZero A925KSM Kompressor arrives very well packed and includes the vacuum motor power head, an aluminum telescoping extension wand (20” collapsed, 29.5” extended), a universal power nozzle (for carpet and bare floors), a combination tool (with removable brush), a crevice tool, a free-standing / wall mountable, portable storage stand with integral battery charger, two lithium ion rechargeable batteries, a spare pre-filter for the motor and a small brush for cleaning the dirt collection canister and motor housing.

Assembly of the charging stand is straightforward, and LG provides a quantity of printed product documentation.  The stand has a weighted base, which I found to be very stable.  The stand may also be wall mounted.  The hardware for wall attachment is included.  Notably, all of the included components and accessories are accommodated on the charging stand!  

The combination tool and crevice tool attachments can be used with or without the telescoping extension wand, easily accommodating cleaning out of reach areas, as well as close-up cleaning tasks such as upholstered furniture.  The telescoping wand provides four latching positions.  All of the attachments easily snap together and latch securely.

Cordless stick vacuums are particularly attractive and desirable for their light weight, easy maneuverability and superior convenience.  The LG CordZero A925 Kompressor excels in those attributes.  

The vacuum weighs only 5.95 lbs, with most of the weight concentrated in the motor unit and battery.  The handle is large and comfortable.  The thumb operated power on/off switch and motor speed control switches (+ / -) are conveniently located and easily operated.  Switches only require momentary depression and do not need to be held continuously during operation as some stick vacuums require.

The power vacuum nozzle is equipped with a ball-gimbal mount which affords outstanding maneuverability and directional control.  The CordZero easily reaches under low furniture, and is easily maneuvered next to walls and furnishings for excellent edge cleaning.

The power vacuum nozzle contains a motorized 9” brushroll which operates at all times for both carpeted and hard surface floors.  A pair of small rollers facilitates movement on carpeting, but nevertheless, there are times when forward motion required additional physical effort.  I found that a high angle of attack exacerbated that issue, and lowering the angle of the stick vacuum reduced the level of required effort.  However, I also found that lowering the angle of attack often necessitates bending slightly to lower the handle/stick.  This created an occasional annoyance.  This issue does not result from the telescoping extension wand being too short.  Rather, it is a product of the design of the leading edge of the of the power nozzle which can embed in carpet pile.

LG provides a specification of 200 watts of suction power.  If LG is actually describing an air watts rating, 200 watts is double the required 100 air watt standard for upright vacuums, and is only slightly below the 220 air watt standard for canister vacuums.

I found the suction power to be more than adequate.  The CordZero A925 provides three motor speeds (power levels) labeled as Normal, Power and Turbo.  The default, Normal mode proved to be extremely effective on both hard and carpeted surfaces.  The Power and Turbo motor speeds reduce battery run-time and increase noise level.

LG claims 40 minutes of operation (per battery) in Normal mode, 20 minutes in Power mode and 6 minutes in Turbo mode when using the floor cleaning Universal Power Nozzle.  When used with a non-powered tool, the claimed operating times are 60 minutes in Normal mode, 30 minutes in Power mode and 7 minutes in Turbo mode.  When used with the power nozzle the claimed run times are 40 minutes in Normal mode, 20 minutes in Power mode and 6 minutes in Turbo mode.  Using two fully charged batteries provides for doubling of the foregoing operating times.  The power unit of the vacuum has an LED display with 3 incremental bars for battery capacity.  After using the LG A925 several times, we believe that with the two included batteries, whole house cleaning is well within expectations.

The lithium ion, batteries are 25.9 volt, 2.4 Ah / 62.16 Wh (2.3 Ah / 59.57 Wh minimum) capacity.  Replacement batteries are expensive so they should be properly maintained.  Battery charging is accommodated by charging one battery while attached to the vacuum motor unit as well as the second battery in the charging stand.  Batteries are not charged simultaneously;  they are charged sequentially.  The charging stand first charges the battery which is attached to the vacuum, and upon completion, then charges the second battery in the stand.  Each battery requires approximately 4 hours to fully charge (8 hours to charge both batteries).

Completion of charging of each battery is annunciated by LED indicators (3 incremental LED bars on the vacuum handle for attached battery, and a single LED on the charging stand for second battery).  Completed charging of the primary battery is also annunciated by a push-notification to the available LG Thin-Q smartphone app.  The built-in LED panel also shows the progress of charging, the need for filter cleaning, detection of a clogged vacuum flow-path and indicates if Wi-Fi is active.

I already had the Thin-Q app installed on my LG smartphone.  Nevertheless, it required a few attempts to finally connect the vacuum with the app via wi-fi.  The CordZero communicates only on 2.4GHz wi-fi.

The Thin-Q app tracks usage of the CordZero by date and cleaning sessions, reporting total hours/minutes of use.  It also displays the duration of use in each of the three power modes, and notifies the user when filters require cleaning.  Additional data granularity might be useful, such as displaying the duration of individual cleaning sessions, rather than just the grand total of each day’s use.  

The Thin-Q app displays when the battery attached to the vacuum is being charged and when it is fully charged.  It does not provide any additional battery status data such as the remaining capacity of the battery (% remaining), and when charging, the progress of the charge (% charged – time remaining to 100%).  There is no information provided for the second battery.

One improvement that I believe would be beneficial and appreciated would be the addition of an LED display (with pushbutton) on the LG batteries.  Every tool battery pack that I own has such a display.  It is very convenient to be able to simply press the button momentarily and for the approximate current remaining charge level of the battery to be instantly displayed on the LED lamps.

Air filtration is comprised of multiple filter elements and is listed as being 5 stage HEPA filtration.  The filters are removable and washable.  A spare pre-filter is also included.  

The small dust collection bin can fill quickly.  The CordZero A925 Kompressor employs a very unique lever operated “piston” to compress the dust and pet hair in the bin, thereby extending the intervals between emptying.  A single press of the release latch quickly and neatly dumps the contents of the dust bin.

I am hopeful that the CordZero A925 proves to be durable and reliable, but of course, only time will tell.  The unit is comprised of a significant quantity of plastic components.  The latch and hinge which secure the dust collection bin appear to potentially be fragile.  Nevertheless, the vacuum appears to have a high quality build, with a solid feel and well made and nicely finished components.  The LG CordZero A925 Kompressor is a high-quality stick vacuum!

Overall, the LG CordZero A925 Kompressor stick vacuum is excellent.  It is compact, lightweight, easily maneuverable, and efficient.  It is powerful, yet not unpleasantly noisy.  It is well-equipped with accessories which attach and detach with ease, and all of which have dedicated storage places on the included charging/storage stand.  The two large capacity batteries provide approximately two hours of run-time with the non-powered tools or approximately 80 minutes of operating time when used with the power nozzle, which is more than adequate for thoroughly cleaning a large house.  The vacuum cleaning power and efficiency are great.

I believe that you will be just as thoroughly pleased and satisfied with the excellent CordZero A925 Kompressor stick vacuum as we are with ours!"
bestbuy,LG A925KSM,5,9/7/2022 13:02,Pilgrim007,"Highly portable, yet powerful stick vacuum","The LG CordZero Cordless Stick Vacuum is a great looking, relatively light vacuum cleaner which fits in nicely between our existing corded and robot vacuum cleaners.

Unboxing and assembly seemed to take longer than I had anticipated, as some of the references in the quick-start and instructions referred to items that were not included in my set. It appears that there are three different flavors of this vacuum and although I am happy with mine, it had references to accessories, an accessory holder and mopping ability which this one does not have. Again, not a problem as I did not get the vacuum for mopping but it was a bit confusing at first to use the one-size-fits-all instructions.

The manual advises charging the batteries before usage so I timed it and it was about an hour or so before the battery was fully charged. Once the vacuum charging mount is assembled, it provides a spot to charge the battery as well as dock the vacuum with its-on-board battery and both will charge in sequence. This means that once the primary battery runs out, you can just swap it out for the spare and then charge that one as you continue cleaning, doubling the effective running time. The vacuum itself will slide down the very top part of the mount and once settled there, it will charge the on-board battery as the other battery remains below, in its mount – very clever!

The charging mount can be free-standing or attached to a wall with the included mounting hardware. You can even dispense with the stand’s foot if you are wall mounting and don’t need to free-stand the vacuum. I am using the freestanding mount for now but will likely mount it later down the line.

The stand includes two accessory mount points which securely hold the two included tools (crevice and soft brush). It means that the accessories are not with you as you clean but they are at least in an obvious storage spot. Even some corded standing vacuums don’t have the tools on board so this is not a big deal but I occasionally see something I wish I had the tool for and then have to really want it, to stop what I am doing and head back to base for the tool.

The vacuum can join your Wi-Fi network and then the LG ThinQ app will track things like battery life, cleaning history and other interesting but not necessary data. For me, it is mostly a novelty but I do like when the app notifies me that the batteries are fully charged again.

Using the vacuum is quite liberating. After years of cleaning a 2600 square foot home with various corded vacuums, it was eye-opening to take the same route with a cordless vacuum.

With the universal floor tool attached, I found I was moving around quicker than with the corded. As the vacuum is lighter and did not have as aggressive beater bar inside the floor tool, I was concerned it wasn’t as powerful as the corded. It certainly leaves less obvious marks on the carpet but still seemed to collect the same amount of carpet fiber, pet hair and other debris. The manual had warned that the universal floor tool might be loud on hard surfaces but I did not really notice and it did fine on our mix of carpet, vinyl and laminate floor.

Being able to just keep going where I would previously have to retrace my steps, in order not to exceed the power cord length was great. In addition, the Kompressor technology helps to reduce stops and visits to empty the debris cannister in the garbage. The Kompressor really is just a push button slide that pushes hair, carpet fiber etc. down near the bottom of the cannister so you can continue vacuuming for longer. I found it did reduce stops but did not really push it to the limit, in case it reduced cleaning power. It also helped keep the cannister cleaner as debris wasn’t able to just gather at the top although it remains to be seen if that will continue to work or dust will build up near the top over time. That said, the manual said you could wash out the cannister so it may not be an issue if you keep up with maintenance.

I was able to do about three quarters of our house, including stairs, with a single battery on normal power. Occasionally I would boost the power to get something embedded in the carpet but did not need the turbo function yet. The LG documentation shows that the battery life is drastically reduced if you run it in the higher modes for too long so I was careful.

Swapping batteries was painless other than the vacuum abruptly stopping and needing to walk back to the charging station to swap them over. I then had plenty of power to return upstairs and finish the last two rooms.

The app kept track of running time and battery status as I cleaned which was interesting but not especially useful. Perhaps over time it could be but the jury is still out for me on the app right now. At worst, it might be helpful when it comes time to replace some of the consumable parts like filters and batteries, which LG warns will wear out and need to be replaced at some point.

In summary, I am very happy with the portability and power of this vacuum and it seemed to be on par with the bigger, heavier corded vacuum we own. It could be run as a stick vacuum or you could remove the stick part and use it to clean stairs or inside a car, with lots of power and even more portability to get in smaller spaces. The battery life is good enough to clean a fairly large house, especially as it comes with two batteries and one can always be on charge. The Kompressor tech is useful but not especially glamorous – still makes it better than most cannisters in terms of keeping them clean and how often they need emptying before they affect the cyclone effect. 

Great job LG!"
bestbuy,LG A925KSM,5,9/7/2022 16:19,MrGadget,LG CordZero A925KSM Cordless Stick Is A STANDOUT,"This LG Cord Zero cordless stick vacuum with Kompressor technology comes with two batteries for extended run time and a clever dirt squisher.

Kompressor technology is a clever built-in feature that compresses the dirt in the dust bin so it does not need to be emptied as often. Moving a lever is all it takes to squish the bin contents.

Get up to 120 minutes of uninterrupted performance with a pair of included batteries. These batteries are said to be an upgraded lithium-ion design that can take repeated charges and discharges and come back for more.

A portable charging stand is provided that holds the CordZero in place and does not require holes to be drilled into a wall, though wall mounting is an option.

One-touch controls turn the vacuum on and off and adjust power levels up to Turbo mode with just a thumb. This should prove to be less strenuous on the hand.

Telescope the wand for greater flexibility and to more conveniently store the unit away while taking up less space.

Removable and washable filters extend the life of the vacuum. In addition, the cyclone system is removable and washable.

A Smart Inverter Motor creates powerful suction and is backed by a 10-year limited warranty (the motor, not the batteries).

The ThinQ app for iOS and Android allows users to check on the vacuum’s cleaning history and perform product diagnostics.

Convertible from a stick to a hand vac, clean floors, furniture and vehicle interiors. Use the included Universal Power Nozzle when in hand vac mode.

LG CordZero is recommended for homes with minimal carpeting or rugs. It is not recommended for use on any fiber floor covering with medium to deep pile, the same as for any vacuum with a spinning brush head.

**WHAT’S IN THE BOX**

• A925KSM CordZero Cordless Stick Vacuum (Six pounds w/o accessories)
• Telescoping wand
• Universal Power Nozzle
• 2 Quick Release Batteries
• Portable Charging Station
• Crevice Tool
• Extra Pre-filter
• AC Power Adapter

**THE SETUP**

Manuals read, BOTH batteries charged (can take up to 240 minutes from fully discharged), it’s time to . . .

**PUT IT TO THE TEST**

A strong, not too loud, motor whir tells me this stick means business.There is plenty of suction even on the lowest power setting. Once it hits a low-pile rug, the power level should be increased for effectiveness, which it to be expected. 

The Kompressor lever is a novel gimmick and it works. As the bin fills, the contents tend to coalesce near the cyclonic ports. Using the Kompressor lever allows the dirt, dust and other debris to be compressed and directed to the bottom of the bin so it does not appear to require emptying so frequently. Who thought of this clever idea?

Battery performance has been as expected, with both batteries providing enough power to clean everywhere. I like the ease-of-use when vacuuming inside our cars. 

Easy to empty, and the simple, washable filter is very effective. There are no consumables to deal with on a regular basis, though the filters will degrade over time. The batteries will eventually need to be replaced. Of equal importance is that the design does not create the need for unusual and unplanned deep cleaning of the CordZero itself.

The brush head is easy to dismantle for removal of anything wrapped around the brush. A quarter-turn of the red screw on the bottom releases the cover for brush head access.

There have been no clogs to remove.

The Wi-Fi-enabled ThinQ App’s monitoring shows a detailed cleaning history and other stats but is, in my mind, a feature that is not so important or relevant to this reviewer.

Everyone here is pretty impressed with this LG CordZero.

**CONCLUSION**

Easy to set up. Easy to use. Easy to like, even love. Very easy to recommend.

**WARRANTY**

Manufacturer’s one year warranty from the date of the original purchase, and 10 years on the Smart Inverter Motor"
bestbuy,LG A925KSM,5,9/9/2022 20:10,TechGeek,Powerful compact stick vacuum!,"Compact, bagless, super light and yet a powerful stick vacuum with tons of features. It came with an extra battery and an extra pre-filter along with a combination and crevice tool. The first thing I noticed on this superlight stick vacuum is the adjustable or telescopic wand and the Kompressor lever. The standalone charging base has an option to charge the second battery. The batteries themselves are compact and each battery is good for 60 min operation.  
	
Design:
	Small form factor with a base station to charge the stick vacuum and the additional battery. The charging station or the base is heavy enough to hold the stick vacuum in place and I didn't have to worry about drilling holes in the walls to keep it secure. It does come with a wall mount option as well. I like the telescopic wand, lets me get under the furniture and everyone in my house including the kids can use it. The best part is the Kompressor lever that really compresses the dirt and keeps the filter free of debris. It will be a while before I have to empty the bin. It also helps clean the bin and not have to worry about getting your fingers in to pull the debris out- good thinking LG! The filters can be removed easily and washed in the sink. The best part is the roller or the brush head that can be easily removed by just twisting one end, and it slides right out. The roller has minimalist design, can twist, and turn easily to go around the corners and is powerful enough to pick up fine debris, and they are so easy to clean! The cyclone head slides right out as well and can be easily cleaned and washed in the sink. I started using this vacuum over other cordless ones that I have, just because of its design and the ease with which it can be cleaned. All the controls on the vacuum can be easily accessed with your thumb. I downloaded the LG ThinQ app to monitor its usage and diagnose issues right on the phone. I like the turbo mode option, gives me the ability to crank up the suction power to deep clean my rugs! I noticed the battery life reduce quite a bit (think about 20 mins) when I had the turbo mode on. The vacuum has three suction levels - normal, power, and turbo. The turbo mode definitely does get the job done when it comes to picking up fine dust. 
	
Function:
	Coming to the suction power, I was impressed on how good it was it in picking up the fine dust from the rugs.  The five-stage filtration system speaks for itself when you see the bin filled with fine dust! I live in a dry state and dust accumulation is a major problem and I can see using this vacuum every other day. It worked great on carpet and on hardwood floors and my only complaint was it has a small opening in the front, and it struggles to pick up large debris on the hardwood floors. 
	
	Overall, I highly recommend this powerful vacuum just for the fact it has good suction power and ease of maintenance. It literally took me less than 10 minutes to clean the filter and the cyclone head, empty the dust bin, and clean the debris off the roller. It’s a little expensive but is comparable to the name brand ones on the suction power, but definitely beats the rest on ease of maintenance. I had it for over 2 weeks and used it every other day and happy with its suction power and battery life!"
bestbuy,LG A925KSM,5,9/7/2022 13:38,DeeGore,Nice experience!,"I have several vacuum cleaners, even though I don’t really enjoy vacuuming. I like the end result, but the actual process of vacuuming is a chore. I have never used a cordless stick vacuum like this LG one though. This vacuum is pretty quiet, which is saying a lot since I think most vacuum cleaners are loud as heck. And the air that blows out when I use it isn’t hot air. That is one of the big negatives about my standard stand up vac. I get so hot and sweaty whenever I use it, not just from pushing it around but the hot air that blows on me the whole time. This one is so effortless, it’s weird. I actually enjoy using it.

This LG came with a wall-mount stand for the vac, but at this point, I’m not going to be installing that permanently on my wall somewhere. I have shared a picture of how to charge this vac if you chose to go unmounted like me. This vac came with a regular nozzle, combination tool, crevice tool and a cleaning brush. The cleaning brush is a nice touch because I really can get up and in the dirt cup with it to dislodge some of the hair that doesn’t want to fall out when I open the latch. It also came with an extra prefilter, which is nice. That has to be washed once in a while so it can be switched out and you can keep on vacuuming while one is hanging to dry. This vac comes with two batteries, so you can always have a backup. This vac comes with a nice maintenance guide which feels like a plastic sheet. It has a little suction cup so you can stick it somewhere to be able to reference as needed. There are several things you can do to keep this vac stick in good operating mode, so this is a good tool to remind you. I myself find it very satisfying to pop open the dirt cup and dump it into the trash can. 

I really like this stick vac to suck up the hair on my bathroom floor. With my regular push vac, it always sucks up the rugs that I have in there and it’s a pain. With this stick I just sweep with it and my rugs don’t get disturbed. There is a turbo power button for extra vacuum power. I use that when I can but definitely do just fine with regular mode on the tile floor. If I had just hard surface floors I could see just owning this vac stick. It’s so easy to use. The extension pipe that connects the nozzle to the vac unit can be used with the other tools, and it extends. If you are short or tall it can be adjusted to your liking. This is also very good for vacuuming up at the ceiling level, etc. It is very nice to be cordless. This is also nice for left handed users. Half of my family is left handed, but not me. I pay a lot of attention to how right handed everything is, and since this is cordless, it’s going to be easier to use with either hand.

I connected this to my LG ThinQ app, it wasn’t too difficult. I already had the app because I have an LG smart TV, but for some reason, that isn’t on the app anymore and I couldn’t reconnect it. I’ll work on that later. Why connect a vacuum cleaner to a smart app? Well, it lets me know when my battery is finished charging. That’s actually very nice. It also tells me how many times someone has used the vac, and for how long. So if you want to keep tabs on that, here you go.  Multiple people can share this info, they can all download the app."
bestbuy,LG A925KSM,4,9/8/2022 10:02,AtlantaGreg,A handy manageably-sized vacuum,"The LG A9 CordZero is the latest in LG’s stick vacuum cleaner models.  I have one of the earliest versions and for the most part was happy with it, but there were a couple of buggy things I didn’t like and this one seems to have cleared those up. The CordZero comes with several accessories and mine came with the main vacuum head (10.2 inches wide) with extension pipe, a second battery, a spare air filter (one is already inserted), a crevice tool and another with a brush, along with a cleaning brush to help clean the canister out.  A stand is also included which is very handy as you can set the main container unit in it to charge the battery and hold it.  I use mine on it’s included stand on the floor, but you can mount it on the wall if you prefer. 

The CordZero is smaller compared to some other stick vacuums, so has a smaller dirt container on it.  My older model would get easily clogged with dirt and frankly was a little bit of a pain to clean out.  The newer A9 model has a lever which they call a Kompressor lever, and you just slide it down a couple of times when emptying the bin, and it forces anything stuck in the upper area out – MUCH easier than before.  Being smaller makes it easier to handle as it doesn’t weight much, and the main head swivels and pivots easily around furniture and gets into smaller areas.  Unfortunately, there is no LED light on it to light up your path, though.  It will let you know when the air filter needs to be changed, but they last a good while.  The roller in the main vacuum head slides out for cleaning as well.

You have three levels of power (normal, power, and turbo), so your battery life will vary depending on what you use.  Normal can get you from 40-60 minutes, but I find this is best for just light duty work.  Power mode is noticeably stronger, and you’ll get from 20-30 minutes per charge on that setting.  The Turbo mode is the strongest and works the best, but you’ll drain the battery in just 6-7 minutes using this.  Having the second battery is essential for this machine, but since the stand can charge both of them at the same time, you’ll be topped off when you need to use it.  Again, I find the Power mode to be the sweet spot of good cleaning power and battery power.  The handle is easy to hold, and the buttons easy to reach while using it (via your thumb).  At only just over 10 inches, the main vacuum head won’t cover huge areas per swath, so if you have HUGE rooms and a lot of them, you might need to look for a larger model, but for many, this one and the two batteries should work. And note – this is NOT for wet vacuuming – just dry dirt, dust, hair, etc.

You can download the “LG ThinQ” app from Apple or Google with this model, and it will connect via WiFi to the vacuum (2.4 Ghz only), so after creating an account with it and picking the item you have, you can monitor how often you’ve cleaned it, if the filter is getting clogged up, or run diagnostics should you feel there is an issue.  Handy to have to monitor the status of the vacuum and easy enough to navigate through once you get it installed, though it was a bit buggy and unnecessarily fiddly to get connected and working initially for me (eventually it kicked in, though).

Overall I really like this updated model.  It works as well or slightly better than the original, the Kompressor lever makes cleaning it out much easier, and the size is perfect for many.  My only complaint that remains with this one is that the main cleaning head isn’t so great with certain larger items (hair if you get an indoor haircut, nuts, etc), so you have to slightly lift up the head and pull it backward over those items to catch them.  Not a game changer, but something to be aware of. Other than that, it works very well on my carpet and hardwood.  Look for sale prices but most of these aren’t inexpensive, but it’s worth it for what you get."
bestbuy,LG A925KSM,5,9/8/2022 18:14,MarkusKong,Amazing Cordless Vacuum w/ Swappable Battery!,"Looking for a powerful cordless stick vacuum with the ability to hot swap batteries to complete the necessary cleaning job? The LG CordZero Cordless Stick Vacuum with Kompressor technology has you covered ladies and gentlemen.

I personally own a Dyson Cyclone V10 which technically is 4 years or so old now and I remember when I first got it; the one thing I had an issue with the most was the battery life. I would have it on high and it would last maybe 20 minutes or so. So I had to sacrifice the suction power to make the battery last a bit longer. Well, with the LG CordZero Cordless Stick Vacuum with Kompressor technology I can get a solid 2 hours or so thanks to LG for including an additional battery. So while using one of the batteries you can have the other one charging.

I really enjoyed the usability and comfortability of the LG CordZero Cordless Stick Vacuum with Kompressor technology. Instead of having to constantly hold down a trigger to operate this vacuum; it has a one touch control so that you can literally just touch it with your finger to start it and touch it again to stop it. When it comes to the suction power on my hard floors; it really does an amazing job with picking up dust and hair. I also like that I can use different attachments for the cleaning job so if I need to make the LG CordZero Cordless Stick Vacuum with Kompressor technology more portable for lets say vacuuming my car; I have that option.  You may think that the dust compartment is small but thanks to the Kompressor technology that LG is using; the dust is compacted so that you can complete your cleaning job before having to empty the bin. Once the cleaning job is complete you’re probably wondering what about maintenance right? Well, LG has graciously provided the ability to remove the filters and wash them.

Overall I must say that I am really happy with the LG CordZero Cordless Stick Vacuum with Kompressor technology. Now I have the ability to do an amazing vacuuming job for 2 hours and don’t have to always worry about going to empty the dustbin all at the same time."
bestbuy,LG A925KSM,4,9/9/2022 19:06,hahanson,There's a Lot To Love,"We have a travel trailer we rent out during the summers, so once a week we are always cleaning, readying the trailer for the next rental. I have to admit the Dyson V8 we've had for a couple of years has been a godsend. It's light, easy to maneuver, and very powerful -- and cordless. Overlooking the fact that the battery only lasted about 8 min on maximum power, it was perfect. There was nothing else that compared. Until now.

After spending some time with the LG - CordZero Cordless Stick Vacuum with Kompressor technology, I think it’s perfect for anyone who wants a premium cordless vacuum that has an awesome charging stand, excellent dirt pickup, and the convenience of an easily replaceable battery to make quick work of any cleaning.

I have to admit the Dyson seems to have more powerful suction, but the LG does almost as well while offering conveniences the Dyson simply can't. The stand can go anywhere (you don't have to drill it into a wall), and charges the CordZero when placed in the stand. The stand also has an additional charging station for the included spare battery. Should the CordZero run out of juice while you're cleaning, simply detach the battery and swap in the fully charged one and continue with what you're doing. No waiting forever while the battery charges. Run time on max power was better than expected at 15 minutes per battery, giving 30 min at max, and almost 2 hours on the standard power setting. The stand also served as storage for the brush and crevice attachments.

The Kompressor is a terrific feature that allows you to press down on a button to compact dust, dirt and other debris in the storage container. It also makes it easier when emptying into the garbage. The CordZero came with 3 washable filters.

Overall, the CordZero A9 offers a lot of value, despite its premium-level cost. The CordZero is solidly constructed and cleans incredibly well. While it has a lot of things going for it, what really stands out for me is the self-standing dock, which, in my opinion, is the best I've come across and is incredibly versatile as it is portable, holds additional attachments, and allows me to charge two batteries simultaneously."
bestbuy,LG A925KSM,5,9/7/2022 19:14,bckrupps37,Love having 2 removable batteries,"Pros:
-Good power on normal mode (no need to stress the battery life)
-Nice and quiet even on turbo mode
-Includes a spare filter
-Filters are washable
-There are multiple ways to configure the charging stand including strong hidden sticky pads so you don’t have to drill into the wall (The stand without the additional mount was fine for me)
-You can charge both batteries at one time on the charging stand
-The charging stand holds almost all of its attachments
-on/off button on the handle. (Trigger buttons are not fun)
-Adjustable telescopic handle is great for taller people like me that are 6’2”

Cons:
-The dust bin is not that large although the emptying lever is great
-I wish the powered mop attachment could be bought separately in the USA because I would buy it right away.


The best cordless vacuum on the market based on the removable batteries, runtime and the better build quality and features vs competitors. It’s great for hardwood, rugs and getting under the beds and furniture wasn’t a problem either."
bestbuy,LG A925KSM,5,9/30/2022 15:46,TanyaT,"Best vacuum I have purchased, ever!","I have always had issues with having to empty the bin on my previous Dysons, and that was my main peeve with those vacuums.  I have a disability, so I don’t vacuum as often as I would like, so there is more lint, dust, etc., when I do, hence I am constantly emptying the bin because Dysons can barely hold anything. My last one accidentally sucked up a small stick my dog tracked in from the backyard that blended in with the hardwood floor, and it punctured the interior of the filter, and basically ruined my last Dyson, as it never worked right since. 

But with this machine, I can vacuum as much as I want, and with a push of a button, it just compacts everything and makes more room. For the price, there is nothing better for bin space, and with the backup battery, I can do the whole house with no issues (something I also couldn’t do with a Dyson).

This was the best investment, period. Especially if you can grab it on sale with a 0% finance deal."
