Comments,Negative,Cleaning Ability,Usability,Battery or Charge,Reliability,Noise
Super heavy and bulky,1,0,1,0,0,0
"ALSO, it feels really heavy when holding it with one hand while cleaning.",1,0,1,0,0,0
"Too heavy, not self propelled and pricey for what it’s capable.",1,0,1,0,0,0
 This vacuum is heavy,1,0,1,0,0,0
 A little heavy,1,0,1,0,0,0
Keeping the trigger depressed is uncomfortable unless you work with weights in the gym everyday,1,0,1,0,0,0
Will not purchase again. We wanted a light weight powerful vacuum.,1,0,1,0,0,0
" To top it off, it's heavy",1,0,1,0,0,0
and the body is a little heavy for me,1,0,1,0,0,0
"In addition to that, on the opposite side of the button is a relatively heavy battery back that makes that unit in your hand heavy to hold and maneuver as you keep the trigger pulled and have to move the vacuum around the room. It's a lot of force and tension on your hand and you will be susceptible to pain in your hand, wrist, forearm, and up the arm.",1,0,1,0,0,0
Too heavy and dust bin to hard to open ,1,0,1,0,0,0
"because of the weight of the motorhead and the difficulty in opening the dust bin to empty it,",1,0,1,0,0,0
"but the battery pack and motor are both at the same end, making the vacuum extremely top heavy.",1,0,1,0,0,0
but they really should have made some sort of cushion for your hand. The weight of the machine starts to rub between my thumb and pointer finger after about 5 minutes of cleaning. I have to switch hands often. I love it but really wish they had put more thought into the handle. Even the shape of the handle is difficult to hold for long periods of time.,1,0,1,0,0,0
" It is top heavy, tiring to use, my fingers, hand and arms get tired as you have to press and hold the on button in constantly at a very awkward position and it even gives me a blister on my fingers every time I use it",1,0,1,0,0,0
 it is so awkward and tiring to use as it is so top-heavy ,1,0,1,0,0,0
 I need an upright lightweight vacuum for everyday lighter use.  It is so heavy and difficult to use I bought a Bissell Bolt Pet and loved using that as it is so light weight and takes no effort at all to roll it over the floor as the weight is at the bottom and you are not trying to hold all the motor weight up in the air. ,1,0,1,0,0,0
I am not expecting super deep cleaning ability from a cordless but it should be easy and lightweight to use and pickup light spills and dust.,1,0,1,0,0,0
 Very handle heavy.,1,0,1,0,0,0
"I'm a healthy 47 year old, but it's not comfortable to use this vacuum.  My finger and harm hurt when I use this vacuum.",1,0,1,0,0,0
