ID	Comments	Suction Power	"Carpet, Rugs or Deep Cleaning"	Bare Floor	Clogging	Pick-up or Nozzle	Pet or Human Hair	Edge Clean	Maintenance	Value or Build-Quality	Usability	Suppotive Feeature	Dust Bin or Emptying	Maneuverability	Versatility	Weight or Self-Stand	Battery or Charge	Reliability	Noise
1	"One is the suction is a little on the weak side, especially if you have the stick extended all the way"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"I find myself using it in the ""turbo"" mode most of the time and then it picks everything up"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	The other thing it does is sometimes leave a little line of dust/pet hair on rugs from the back edge of the roller head	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Then when you roll forward again it leaves the line of dust/hair on the rug	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	This wasn't as powerful as I was expecting	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	"I clicked the + to boost power, it was better but still not as great as I was expecting"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	"I ran it for about 8 minutes and it started sounding weird, power going up and down and it shut off then beeped"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	It indicated a clog	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	"I took the motor off the pole and saw a clog, pet hair, at the top of the neck"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	"I tried and tried to get it out, even used a chopstick to pull out the clog"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	"For the price, $999 I was expecting so much more from this system"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2	"It will be passable for light cleaning but if you have pets, or have deeper cleaning needs, I can't recommend"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	what it really does is pick up and hold on to all the hair and fur	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3	I had to repeatedly stop to grab all this and direct it into the nozzle	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3	"When I was vacuuming while going down the steps to my first floor, it was actually depositing an ever larger dust bunny on the step below as I was picking it up and placing it on the next step down"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3	"By the time I reached the bottom, I had a dust bunny the size of an actual bunny (well at least a baby one)"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4	"I have a German Shepherd and if you know the breed, well they shed like crazy"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
4	I could tell immediately that it wasn't going to be powerful enough for the job ahead	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	I quickly placed the vacuum on Turbo mode and it worked a lot better	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	"After 5 minutes of vacuuming I got a clog, the vacuum errored out and turned off"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	" I feel the price for what you get, is a little high"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4	It just doesn't seem to have the power of my full size vacuum	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	But for the price you would think it would	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5	My only complaint was that it needed to be cleaned once a week	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
5	"Now, I clean it more often, which is not efficient"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
5	"Anyway, the reason why I hate it is that after 2 days after cleaning, I will use the vaccum and when I turn it off, a quarter of what I picked up, falls back onto the floor"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	Do not buy if you are cleaning up pet food or litter	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5	"When comparing hand vac to hand vac, the Dyson is much stronger"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	The battery life is better than the Dyson though	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
5	I do not feel that I should have to clean a vacuum more than once a week for it to work properly	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
6	"I purchased this vacuum in September and it gave out in early fab barely lasted 5 ounce one of the batteries died had to send back to the repair for LG warranty which made me further file the process about three different times and still out for up here and now I am down in June for months out without a vacuum, I purchased this vacuum in September and it gave out in early fab barely lasted 5 ounce one of the batteries died had to send back to the repair for LG warranty which made me further file the process about three different times and still out for up here and now I am down in June for months out without a vacuum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
7	This vacuum is a bit too heavy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
7	That’s quite a bit of weight on top	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
7	"After a few minutes, you’ll find yourself needing to use two hands to move the vacuum around"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
7	The other drawback to having so much weight on top is that it throws the balance off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
7	People are used to the weight on the bottom nozzle where the suction happens and when it’s the opposite it introduces usability issues such as having to make sure you keep the floor nozzle grounded as you’re prone to lifting it up due to the unnatural weight distribution	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
8	"However, with “normal” operation I felt the suction power is not that great - with my “moderately clean” carpets with the usual dog hair etc"	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
8	This drastically reduced the battery life and had to swap out the provided 2nd battery almost all the time	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
8	"Without the 2nd battery and the charging station, this would have been a no-go from the very start"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
8	"Of course, this depends on what type of carpets you have and how dirty they regularly get, but for me I’d appreciate it a bit more under Normal mode"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	Will not pick up larger debris… The suction could be better	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
9	"While it can be powerful at max setting, I find that my other stick vacuum of the same price outperforms this one"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
9	"On carpet, especially if you have pets, I find the suction on normal and medium somewhat disappointing"	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
9	It’ll pick up surface level and some hair but it won’t pick up fine dust unless I activate Turbo mode	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	"With Tubo on, it did pick up dust deep in the carpet but I have to go over the area a few times"	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
9	"On normal the battery will last about 30 mins, while Turbo will last about 10 mins"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
10	"They are very easy to exchange, and are perfect for multiple floor surfaces"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
10	"I use the mini power brush to run across the treads of my carpeted staircase, and it does an excellent job fluffing up the plush carpeting"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	The soft power roller leaves my hardwoods gleaming and pulls up dust from the grooves in the floorboards	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	"The multi-tasker power brush is great on carpeting, rugs, and tile"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	"Hair is exceptionally easy to remove from this brush, aided by a hair-removal tool that was thoughtfully included in the bag containing the product manual"	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
11	The function of the wi-fi is unclear to me and I am not sure if I will ever need to use the wifi	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
11	The placement of the turbo and wi-fi switches are a problem	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
11	It should probably be above the on/off switch instead of below	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
