P_ID,negative,neutral,positive,ID,RATING,PARAGRAPHS,KEYWORDS,KEYWORD
0,0.0012768471,0.012046007,0.98667717,0,5,POWERFUL LIGHTWEIGHT  EFFICIENT STICK VACUUM The LG CordZero A925KSM Kompressor Stick Vacuum is similar to some other LG cordless vacuum models and that is a very good thing The LG A925KSM is an excellent cordless stick vacuum that performs very well and is very pleasant and easy to use,"['lg cordzero a925ksm kompressor stick vacuum', 'powerful lightweight efficient stick vacuum', 'excellent cordless stick vacuum', 'lg cordless vacuum models', 'lg a925ksm', 'good thing']","['lg cordzero a925ksm kompressor stick vacuum', 'powerful lightweight efficient stick vacuum', 'excellent cordless stick vacuum', 'lg cordless vacuum models', 'lg a925ksm', 'good thing', 'well', 'use', 'similar', 'pleasant', 'performs', 'easy']"
1,0.0024906343,0.23520043,0.7623089,0,5,The LG CordZero A925KSM Kompressor arrives very well packed and includes the vacuum motor power head an aluminum telescoping extension wand 20” collapsed 295” extended a universal power nozzle for carpet and bare floors a combination tool with removable brush a crevice tool a freestanding  wall mountable portable storage stand with integral battery charger two lithium ion rechargeable batteries a spare prefilter for the motor and a small brush for cleaning the dirt collection canister and motor housing,"['aluminum telescoping extension wand 20 ” collapsed 295 ” extended', 'integral battery charger two lithium ion rechargeable batteries', 'freestanding wall mountable portable storage stand', 'lg cordzero a925ksm kompressor arrives', 'vacuum motor power head', 'universal power nozzle', 'dirt collection canister', 'motor housing', 'well packed', 'spare prefilter', 'small brush', 'removable brush', 'crevice tool', 'combination tool', 'bare floors']","['aluminum telescoping extension wand 20 ” collapsed 295 ” extended', 'integral battery charger two lithium ion rechargeable batteries', 'freestanding wall mountable portable storage stand', 'lg cordzero a925ksm kompressor arrives', 'vacuum motor power head', 'universal power nozzle', 'dirt collection canister', 'motor housing', 'well packed', 'spare prefilter', 'small brush', 'removable brush', 'crevice tool', 'combination tool', 'bare floors', 'motor', 'includes', 'cleaning', 'carpet']"
2,0.0030766777,0.12877317,0.8681501,0,5,Assembly of the charging stand is straightforward and LG provides a quantity of printed product documentation The stand has a weighted base which I found to be very stable The stand may also be wall mounted The hardware for wall attachment is included Notably all of the included components and accessories are accommodated on the charging stand ,"['printed product documentation', 'stand may also', 'charging stand', 'weighted base', 'wall mounted', 'wall attachment', 'lg provides', 'included notably', 'included components']","['printed product documentation', 'stand may also', 'weighted base', 'wall mounted', 'wall attachment', 'lg provides', 'included notably', 'included components', 'charging stand', 'stand', 'straightforward', 'stable', 'quantity', 'hardware', 'found', 'assembly', 'accommodated', 'accessories']"
3,0.0076108132,0.39392927,0.5984599,0,5,The combination tool and crevice tool attachments can be used with or without the telescoping extension wand easily accommodating cleaning out of reach areas as well as closeup cleaning tasks such as upholstered furniture The telescoping wand provides four latching positions All of the attachments easily snap together and latch securely,"['telescoping wand provides four latching positions', 'telescoping extension wand easily accommodating cleaning', 'attachments easily snap together', 'closeup cleaning tasks', 'crevice tool attachments', 'combination tool', 'upholstered furniture', 'reach areas', 'latch securely']","['telescoping wand provides four latching positions', 'telescoping extension wand easily accommodating cleaning', 'attachments easily snap together', 'closeup cleaning tasks', 'crevice tool attachments', 'combination tool', 'upholstered furniture', 'reach areas', 'latch securely', 'without', 'well', 'used']"
4,0.0011600947,0.025888508,0.9729514,0,5,Cordless stick vacuums are particularly attractive and desirable for their light weight easy maneuverability and superior convenience The LG CordZero A925 Kompressor excels in those attributes ,"['lg cordzero a925 kompressor excels', 'light weight easy maneuverability', 'cordless stick vacuums', 'superior convenience', 'particularly attractive']","['lg cordzero a925 kompressor excels', 'light weight easy maneuverability', 'cordless stick vacuums', 'superior convenience', 'particularly attractive', 'desirable', 'attributes']"
5,0.011937287,0.28744718,0.70061547,0,5,The vacuum weighs only 595 lbs with most of the weight concentrated in the motor unit and battery The handle is large and comfortable The thumb operated power onoff switch and motor speed control switches    are conveniently located and easily operated Switches only require momentary depression and do not need to be held continuously during operation as some stick vacuums require,"['thumb operated power onoff switch', 'motor speed control switches', 'easily operated switches', 'stick vacuums require', 'require momentary depression', 'motor unit', 'weight concentrated', 'vacuum weighs', 'held continuously', 'conveniently located', '595 lbs']","['thumb operated power onoff switch', 'motor speed control switches', 'easily operated switches', 'stick vacuums require', 'require momentary depression', 'motor unit', 'weight concentrated', 'vacuum weighs', 'held continuously', 'conveniently located', '595 lbs', 'operation', 'need', 'large', 'handle', 'comfortable', 'battery']"
6,0.005475144,0.24321522,0.75130963,0,5,The power vacuum nozzle is equipped with a ballgimbal mount which affords outstanding maneuverability and directional control The CordZero easily reaches under low furniture and is easily maneuvered next to walls and furnishings for excellent edge cleaning,"['power vacuum nozzle', 'excellent edge cleaning', 'easily maneuvered next', 'cordzero easily reaches', 'affords outstanding maneuverability', 'low furniture', 'directional control', 'ballgimbal mount']","['power vacuum nozzle', 'excellent edge cleaning', 'easily maneuvered next', 'cordzero easily reaches', 'affords outstanding maneuverability', 'low furniture', 'directional control', 'ballgimbal mount', 'walls', 'furnishings', 'equipped']"
7,0.46644247,0.46860382,0.06495372,0,5,The power vacuum nozzle contains a motorized 9” brushroll which operates at all times for both carpeted and hard surface floors A pair of small rollers facilitates movement on carpeting but nevertheless there are times when forward motion required additional physical effort I found that a high angle of attack exacerbated that issue and lowering the angle of the stick vacuum reduced the level of required effort However I also found that lowering the angle of attack often necessitates bending slightly to lower the handlestick This created an occasional annoyance This issue does not result from the telescoping extension wand being too short Rather it is a product of the design of the leading edge of the of the power nozzle which can embed in carpet pile,"['forward motion required additional physical effort', 'attack often necessitates bending slightly', 'small rollers facilitates movement', 'motorized 9 ” brushroll', 'power vacuum nozzle contains', 'required effort however', 'stick vacuum reduced', 'telescoping extension wand', 'hard surface floors', 'power nozzle', 'attack exacerbated', 'short rather', 'occasional annoyance', 'leading edge', 'high angle', 'carpet pile', 'also found']","['forward motion required additional physical effort', 'attack often necessitates bending slightly', 'small rollers facilitates movement', 'motorized 9 ” brushroll', 'power vacuum nozzle contains', 'required effort however', 'stick vacuum reduced', 'telescoping extension wand', 'hard surface floors', 'power nozzle', 'attack exacerbated', 'short rather', 'occasional annoyance', 'leading edge', 'carpet pile', 'high angle', 'also found', 'found', 'angle', 'times', 'result', 'product', 'pair', 'operates', 'nevertheless', 'lowering', 'lower', 'level', 'issue', 'handlestick', 'embed', 'design', 'created', 'carpeting', 'carpeted']"
8,0.22796303,0.6495704,0.12246656,0,5,LG provides a specification of 200 watts of suction power If LG is actually describing an air watts rating 200 watts is double the required 100 air watt standard for upright vacuums and is only slightly below the 220 air watt standard for canister vacuums,"['required 100 air watt standard', 'air watts rating 200 watts', '220 air watt standard', '200 watts', 'upright vacuums', 'suction power', 'lg provides', 'canister vacuums', 'actually describing']","['required 100 air watt standard', 'air watts rating 200 watts', '220 air watt standard', '200 watts', 'upright vacuums', 'suction power', 'canister vacuums', 'actually describing', 'lg provides', 'lg', 'specification', 'slightly', 'double']"
9,0.007960309,0.12253066,0.8695091,0,5,I found the suction power to be more than adequate The CordZero A925 provides three motor speeds power levels labeled as Normal Power and Turbo The default Normal mode proved to be extremely effective on both hard and carpeted surfaces The Power and Turbo motor speeds reduce battery runtime and increase noise level,"['cordzero a925 provides three motor speeds power levels labeled', 'turbo motor speeds reduce battery runtime', 'default normal mode proved', 'increase noise level', 'normal power', 'suction power', 'extremely effective', 'carpeted surfaces']","['cordzero a925 provides three motor speeds power levels labeled', 'turbo motor speeds reduce battery runtime', 'default normal mode proved', 'increase noise level', 'normal power', 'suction power', 'extremely effective', 'carpeted surfaces', 'turbo', 'power', 'hard', 'found', 'adequate']"
